,,,Expected,Expected,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Ast,xA,xAG,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
56,Weston McKennie,2,1.0,0.6,2024-2025,25,us USA,Juventus,it Serie A,6,345,3.8,4,2,3,1,2,3,1,0,0,0,0.3,0.3,0.6,1.0,1.0,1.0,+0.7,+0.7,+1.4,0.08,4,0.25,0.50,2,50.0,13.4,0,MF,01c3aff5
57,Jofre,2,0.9,1.3,2024-2025,23,es ESP,Espanyol,es La Liga,11,678,7.5,9,2,0,2,2,4,2,0,0,0,0.9,0.9,1.3,2.3,0.9,2.3,+1.1,+1.1,+0.7,0.07,13,0.15,0.67,3,23.1,22.0,0,MFFW,030ef8d6
58,Federico Valverde,2,1.1,1.3,2024-2025,26,uy URU,Real Madrid,es La Liga,11,940,10.4,11,0,0,2,2,4,2,0,0,0,0.4,0.4,1.3,1.7,1.1,1.7,+1.6,+1.6,+0.7,0.03,14,0.14,0.25,8,57.1,28.1,2,MF,0959c2a2
59,Giorgos Kyriakopoulos,2,0.9,1.2,2024-2025,28,gr GRE,Monza,it Serie A,10,900,10.0,10,0,0,1,2,3,1,0,0,0,0.2,0.2,1.2,1.5,0.9,1.5,+0.8,+0.8,+0.8,0.03,7,0.14,0.33,3,42.9,22.8,1,DF,0a483542
60,Benjamin Henrichs,2,1.8,1.3,2024-2025,27,de GER,RB Leipzig,de Bundesliga,8,350,3.9,3,5,0,0,2,2,0,0,0,0,0.3,0.3,1.3,1.7,1.8,1.7,-0.3,-0.3,+0.7,0.05,6,0.00,,0,0.0,18.5,0,DF,0a89e877
61,Breel Embolo,2,0.8,1.8,2024-2025,27,ch SUI,Monaco,fr Ligue 1,7,450,5.0,5,2,2,1,2,3,1,0,0,0,2.8,2.8,1.8,4.6,0.8,4.6,-1.8,-1.8,+0.2,0.20,14,0.07,0.25,4,28.6,10.0,0,FW,0b4f388a
62,Romain Del Castillo,2,1.3,0.8,2024-2025,28,fr FRA,Brest,fr Ligue 1,7,506,5.6,6,1,0,3,2,5,0,3,4,1,3.5,0.4,0.8,4.4,1.3,1.2,-0.5,-0.4,+1.2,0.06,6,0.00,0.00,2,33.3,26.6,0,FW,0be95d34
63,Jamie Gittens,2,1.8,1.1,2024-2025,19,eng ENG,Dortmund,de Bundesliga,8,423,4.7,4,4,0,2,2,4,2,0,0,0,0.8,0.8,1.1,1.9,1.8,1.9,+1.2,+1.2,+0.9,0.09,9,0.22,0.40,5,55.6,17.5,0,FW,10745192
64,Diego Moreira,2,1.7,1.7,2024-2025,19,pt POR,Strasbourg,fr Ligue 1,9,645,7.2,7,2,0,1,2,3,1,0,0,0,0.6,0.6,1.7,2.3,1.7,2.3,+0.4,+0.4,+0.3,0.08,8,0.13,0.20,5,62.5,14.1,0,DFFW,12de1b0d
65,Jacob Ramsey,2,1.2,1.3,2024-2025,23,eng ENG,Aston Villa,eng Premier League,8,509,5.7,5,3,0,0,2,2,0,0,0,0,0.5,0.5,1.3,1.8,1.2,1.8,-0.5,-0.5,+0.7,0.08,7,0.00,0.00,3,42.9,16.5,0,FWMF,1544f145
66,Moisés Caicedo,2,1.1,1.5,2024-2025,22,ec ECU,Chelsea,eng Premier League,9,795,8.8,9,0,0,0,2,2,0,0,0,0,0.2,0.2,1.5,1.7,1.1,1.7,-0.2,-0.2,+0.5,0.05,5,0.00,,0,0.0,24.0,0,MF,16264a81
67,Emile Smith Rowe,2,0.8,0.5,2024-2025,24,eng ENG,Fulham,eng Premier League,9,627,7.0,8,1,0,2,2,4,2,0,0,0,1.8,1.8,0.5,2.3,0.8,2.3,+0.2,+0.2,+1.5,0.13,14,0.14,1.00,2,14.3,15.4,0,MF,17695062
68,Diogo Jota,2,0.3,0.8,2024-2025,27,pt POR,Liverpool,eng Premier League,7,492,5.5,7,0,1,2,2,4,2,0,0,0,2.7,2.7,0.8,3.5,0.3,3.5,-0.7,-0.7,+1.2,0.19,14,0.14,0.67,3,21.4,11.7,0,FW,178ae8f8
69,Williot Swedberg,2,0.8,0.8,2024-2025,20,se SWE,Celta Vigo,es La Liga,11,476,5.3,5,6,0,2,2,4,2,0,0,0,2.9,2.9,0.8,3.8,0.8,3.8,-0.9,-0.9,+1.2,0.22,13,0.15,0.29,7,53.8,15.0,0,FWMF,184fe4b2
70,Hassane Kamara,2,1.2,1.1,2024-2025,30,ci CIV,Udinese,it Serie A,8,501,5.6,6,2,0,0,2,2,0,0,0,0,0.1,0.1,1.1,1.1,1.2,1.1,-0.1,-0.1,+0.9,0.04,2,0.00,0.00,1,50.0,26.0,0,DF,19a12bed
71,Ansgar Knauff,2,0.4,1.0,2024-2025,22,de GER,Eint Frankfurt,de Bundesliga,7,289,3.2,3,4,0,0,2,2,0,0,0,0,0.1,0.1,1.0,1.1,0.4,1.1,-0.1,-0.1,+1.0,0.03,4,0.00,,0,0.0,20.1,0,MFDF,19a967ab
72,Lucas Digne,2,1.5,1.4,2024-2025,31,fr FRA,Aston Villa,eng Premier League,9,678,7.5,9,0,0,0,2,2,0,0,0,0,0.3,0.3,1.4,1.7,1.5,1.7,-0.3,-0.3,+0.6,0.07,4,0.00,0.00,1,25.0,23.6,2,DF,1b84dbe1
73,Dennis Man,2,1.2,2.6,2024-2025,25,ro ROU,Parma,it Serie A,10,727,8.1,9,1,0,3,2,5,3,0,0,0,1.9,1.9,2.6,4.4,1.2,4.4,+1.1,+1.1,-0.6,0.09,20,0.15,0.38,8,40.0,16.3,0,FWMF,2079b3cc
74,Boulaye Dia,2,0.7,2.1,2024-2025,27,sn SEN,Lazio,it Serie A,9,552,6.1,7,2,1,3,2,5,3,0,0,0,2.0,2.0,2.1,4.1,0.7,4.1,+1.0,+1.0,-0.1,0.18,11,0.27,0.50,6,54.5,13.1,0,MFFW,244bc2c8
75,Yacine Adli,2,0.4,0.7,2024-2025,24,fr FRA,Fiorentina,it Serie A,8,300,3.3,3,5,0,1,2,3,1,0,0,0,0.0,0.0,0.7,0.7,0.4,0.7,+1.0,+1.0,+1.3,0.02,1,1.00,1.00,1,100.0,20.8,0,MF,26777636
76,Brenner,2,0.1,0.5,2024-2025,24,br BRA,Udinese,it Serie A,8,383,4.3,5,3,2,1,2,3,1,0,0,0,0.6,0.6,0.5,1.1,0.1,1.1,+0.4,+0.4,+1.5,0.09,7,0.14,0.25,4,57.1,19.8,0,MFFW,279508bf
77,José Luis García Vayá,2,1.2,1.3,2024-2025,25,es ESP,Valencia,es La Liga,10,855,9.5,10,0,0,1,2,3,0,1,1,0,1.0,0.2,1.3,2.2,1.2,1.4,0.0,-0.2,+0.7,0.03,6,0.00,0.00,3,50.0,28.7,0,MF,27dc1378
78,Antonee Robinson,2,0.7,0.6,2024-2025,26,us USA,Fulham,eng Premier League,9,810,9.0,9,0,0,0,2,2,0,0,0,0,0.2,0.2,0.6,0.8,0.7,0.8,-0.2,-0.2,+1.4,0.03,5,0.00,,0,0.0,22.6,0,DF,289601e6
79,Lewis Cook,2,1.3,1.8,2024-2025,27,eng ENG,Bournemouth,eng Premier League,9,803,8.9,9,0,0,1,2,3,1,0,0,0,0.3,0.3,1.8,2.2,1.3,2.2,+0.7,+0.7,+0.2,0.07,5,0.20,0.50,2,40.0,23.9,0,MF,2afc7272
80,Robin Gosens,2,0.5,1.3,2024-2025,30,de GER,2 Teams,2 Comps,9,782,8.7,9,0,0,2,2,4,2,0,0,0,1.0,1.0,1.3,2.1,0.5,2.3,+1.0,+1.0,+0.7,0.12,8,0.25,0.50,4,50.0,14.4,0,DF,2d970560
81,Morgan Rogers,2,1.4,2.2,2024-2025,22,eng ENG,Aston Villa,eng Premier League,9,741,8.2,9,0,0,2,2,4,2,0,0,0,1.7,1.7,2.2,3.9,1.4,3.9,+0.3,+0.3,-0.2,0.10,17,0.12,0.33,6,35.3,17.4,0,MFFW,2e5915f1
82,Marc Casado,2,0.9,0.7,2024-2025,20,es ESP,Barcelona,es La Liga,9,627,7.0,7,2,2,0,2,2,0,0,0,0,0.8,0.8,0.7,1.5,0.9,1.5,-0.8,-0.8,+1.3,0.10,8,0.00,,0,0.0,22.9,0,MF,2ef08833
83,Harry Winks,2,1.1,1.0,2024-2025,28,eng ENG,Leicester City,eng Premier League,8,675,7.5,7,1,1,0,2,2,0,0,0,0,0.0,0.0,1.0,1.0,1.1,1.0,0.0,0.0,+1.0,0.02,2,0.00,,0,0.0,31.3,0,MF,2f7acede
84,Phillipp Mwene,2,1.1,0.5,2024-2025,30,at AUT,Mainz 05,de Bundesliga,8,708,7.9,8,0,0,0,2,2,0,0,0,0,0.2,0.2,0.5,0.7,1.1,0.7,-0.2,-0.2,+1.5,0.03,6,0.00,,0,0.0,21.4,0,DF,2ff76adc
